year,eez_country,GDP
2001,ABW,20669.03197
2001,AFG,
2001,AGO,527.3335285
2001,ALB,1281.659393
2001,AND,22971.53554
2001,ARE,31280.78428
2001,ARG,7208.371567
2001,ARM,694.4232277
2001,ASM,
2001,ATG,10370.67113
2001,AUS,19490.86111
2001,AUT,24537.51426
2001,AZE,703.6838434
2001,BDI,134.3634475
2001,BEL,22995.15752
2001,BEN,517.6142296
2001,BFA,266.8641557
2001,BGD,415.0344266
2001,BGR,1770.913534
2001,BHR,12868.26916
2001,BHS,27486.23677
2001,BIH,1530.814816
2001,BLR,1244.373185
2001,BLZ,3404.453017
2001,BMU,58883.95943
2001,BOL,948.8712066
2001,BRA,3156.798718
2001,BRB,11209.17431
2001,BRN,16472.14862
2001,BTN,764.4366074
2001,BWA,3278.00825
2001,CAF,250.3570114
2001,CAN,23738.18072
2001,CHE,38538.99005
2001,CHI,41804.37092
2001,CHL,4574.594421
2001,CHN,1053.108243
2001,CIV,664.1276663
2001,CMR,651.1009075
2001,COD,153.5910092
2001,COG,868.3399509
2001,COL,2439.681836
2001,COM,680.3185414
2001,CPV,1292.202785
2001,CRI,3944.737613
2001,CUB,2837.738018
2001,CUW,
2001,CYM,
2001,CYP,14821.44682
2001,CZE,6609.20553
2001,DEU,23607.88286
2001,DJI,780.9082226
2001,DMA,4883.723663
2001,DNK,30751.65435
2001,DOM,2977.148428
2001,DZA,1740.642423
2001,ECU,1894.615169
2001,EGY,1391.707846
2001,ERI,316.82382
2001,ESP,15355.70317
2001,EST,4509.17846
2001,ETH,120.765782
2001,FIN,24946.18919
2001,FJI,2039.625697
2001,FRA,22433.55571
2001,FRO,24419.74244
2001,FSM,2248.429175
2001,GAB,3989.556606
2001,GBR,27744.50646
2001,GEO,801.9904139
2001,GHA,269.0149984
2001,GIB,
2001,GIN,336.6300919
2001,GMB,505.4201497
2001,GNB,319.6774918
2001,GNQ,2313.151289
2001,GRC,12538.17883
2001,GRD,5040.670468
2001,GRL,19275.47334
2001,GTM,1575.428557
2001,GUM,
2001,GUY,955.6653806
2001,HKG,25230.21633
2001,HND,1120.552212
2001,HRV,5391.091591
2001,HTI,417.762646
2001,HUN,5276.033189
2001,IDN,748.2576157
2001,IMN,21352.21605
2001,IND,451.5730011
2001,IRL,28227.72753
2001,IRN,1909.412278
2001,IRQ,1435.7
2001,ISL,28793.96075
2001,ISR,20306.93224
2001,ITA,20483.21599
2001,JAM,3431.416469
2001,JOR,1744.463602
2001,JPN,33846.46564
2001,KAZ,1490.92709
2001,KEN,395.3295318
2001,KGZ,308.4096116
2001,KHM,321.1503013
2001,KIR,735.0262947
2001,KNA,10660.41173
2001,KOR,11561.24837
2001,KWT,16587.17767
2001,LAO,326.9419076
2001,LBN,4422.387076
2001,LBR,306.7103554
2001,LBY,6266.490972
2001,LCA,5642.92727
2001,LIE,74267.48649
2001,LKA,832.8034402
2001,LSO,405.6053137
2001,LTU,3530.147337
2001,LUX,48179.42085
2001,LVA,3566.171119
2001,MAC,15552.95038
2001,MAF,
2001,MAR,1339.293577
2001,MCO,83734.77998
2001,MDA,507.5576584
2001,MDG,334.4416383
2001,MDV,3039.334623
2001,MEX,7544.568648
2001,MHL,2388.549648
2001,MKD,1815.920091
2001,MLI,307.4369205
2001,MLT,10346.55337
2001,MMR,137.1683267
2001,MNE,1909.598702
2001,MNG,524.0553079
2001,MNP,
2001,MOZ,291.467739
2001,MRT,646.116311
2001,MUS,3856.625227
2001,MWI,150.1489558
2001,MYS,3913.428726
2001,NAM,1906.292604
2001,NCL,
2001,NER,208.0676622
2001,NGA,590.381815
2001,NIC,1034.551588
2001,NLD,26873.27593
2001,NOR,38542.7151
2001,NPL,246.725629
2001,NRU,
2001,NZL,13882.85683
2001,OMN,8475.964136
2001,PAK,544.4942738
2001,PAN,4046.419981
2001,PER,1941.475632
2001,PHL,990.5638962
2001,PLW,8085.066543
2001,PNG,515.6846078
2001,POL,4981.198619
2001,PRI,18123.1987
2001,PRK,
2001,PRT,11724.6115
2001,PRY,1565.053712
2001,PSE,1335.553195
2001,PYF,
2001,QAT,28517.26721
2001,ROU,1825.179805
2001,RUS,2100.352512
2001,RWA,203.4568715
2001,SAU,8684.647401
2001,SDN,383.0159987
2001,SEN,615.2684717
2001,SGP,21700.02005
2001,SLB,944.6140341
2001,SLE,229.3755148
2001,SLV,2072.299842
2001,SMR,38739.1586
2001,SOM,244.9
2001,SRB,1727.281196
2001,SSD,
2001,STP,524.6879948
2001,SUR,1750.558371
2001,SVK,5717.21709
2001,SVN,10479.75943
2001,SWE,27247.85773
2001,SWZ,1521.76762
2001,SXM,
2001,SYC,7663.13708
2001,SYR,1258.447322
2001,TCA,16629.34223
2001,TCD,196.9736976
2001,TGO,292.5673576
2001,THA,1893.26406
2001,TJK,171.0479834
2001,TKM,774.4828307
2001,TLS,529.7902522
2001,TON,1840.291495
2001,TTO,6939.801184
2001,TUN,2253.04471
2001,TUR,3119.56579
2001,TUV,1391.453495
2001,TWN,13357.195
2001,TZA,406.5386686
2001,UGA,239.4731859
2001,UKR,780.3211789
2001,URY,6284.4559
2001,USA,37133.24281
2001,UZB,456.7062895
2001,VCT,3985.683402
2001,VEN,4986.675586
2001,VGB,
2001,VIR,
2001,VNM,404.8078662
2001,VUT,1363.113016
2001,WSM,1557.01718
2001,XKX,1490.361033
2001,YEM,550.3602417
2001,ZAF,2666.47491
2001,ZMB,382.9411785
2001,ZWE,568.3859092
