year,eez_country,GDP
2007,ABW,25835.13267
2007,AFG,359.6932375
2007,AGO,3121.995637
2007,ALB,3595.037163
2007,AND,47803.69361
2007,ARE,41809.51638
2007,ARG,7245.448317
2007,ARM,3139.277499
2007,ASM,8909.449156
2007,ATG,15607.08987
2007,AUS,40960.05449
2007,AUT,46855.77175
2007,AZE,3851.437869
2007,BDI,172.4958599
2007,BEL,44262.896
2007,BEN,964.926944
2007,BFA,534.3558864
2007,BGD,558.0518603
2007,BGR,5885.104348
2007,BHR,20976.54353
2007,BHS,31472.09897
2007,BIH,4193.373652
2007,BLR,4735.657608
2007,BLZ,4252.48725
2007,BMU,90849.58698
2007,BOL,1372.628225
2007,BRA,7348.030794
2007,BRB,16770.72121
2007,BRN,32663.56659
2007,BTN,1757.182567
2007,BWA,5832.733942
2007,CAF,404.373965
2007,CAN,44543.04104
2007,CHE,63555.2375
2007,CHI,74462.64675
2007,CHL,10502.35452
2007,CHN,2693.969827
2007,CIV,1061.154026
2007,CMR,1194.06985
2007,COD,286.3304921
2007,COG,2165.745759
2007,COL,4714.072541
2007,COM,1238.461514
2007,CPV,3186.826892
2007,CRI,6071.789165
2007,CUB,5208.716073
2007,CUW,
2007,CYM,85434.26817
2007,CYP,31244.92622
2007,CZE,18373.649
2007,DEU,41587.2129
2007,DJI,1052.725652
2007,DMA,5952.056669
2007,DNK,58487.05497
2007,DOM,4707.792532
2007,DZA,3950.519369
2007,ECU,3567.836438
2007,EGY,1667.843721
2007,ERI,439.8326905
2007,ESP,32549.97098
2007,EST,16741.93912
2007,ETH,244.2860372
2007,FIN,48414.84509
2007,FJI,4072.10157
2007,FRA,41508.43399
2007,FRO,47885.69888
2007,FSM,2458.611313
2007,GAB,8447.078591
2007,GBR,50566.8266
2007,GEO,2635.353882
2007,GHA,1078.160509
2007,GIB,
2007,GIN,659.992723
2007,GMB,780.3800991
2007,GNB,493.0704969
2007,GNQ,15908.39183
2007,GRC,28827.32636
2007,GRD,7212.506822
2007,GRL,39780.95144
2007,GTM,2531.20608
2007,GUM,27542.22617
2007,GUY,2331.200342
2007,HKG,30594.01784
2007,HND,1572.065504
2007,HRV,13962.84757
2007,HTI,619.8127742
2007,HUN,13918.96019
2007,IDN,1860.002763
2007,IMN,54194.98641
2007,IND,1028.334771
2007,IRL,61359.74138
2007,IRN,4904.666252
2007,IRQ,3182.947982
2007,ISL,69054.27079
2007,ISR,24924.33095
2007,ITA,37822.66524
2007,JAM,4633.944386
2007,JOR,2773.740242
2007,JPN,35275.22843
2007,KAZ,6771.414797
2007,KEN,825.6665976
2007,KGZ,721.7686908
2007,KHM,631.5248421
2007,KIR,1374.452153
2007,KNA,14426.83212
2007,KOR,24086.41044
2007,KWT,45782.27656
2007,LAO,710.344815
2007,LBN,5207.796
2007,LBR,396.6017613
2007,LBY,11300.19134
2007,LCA,7970.035701
2007,LIE,130655.637
2007,LKA,1630.388906
2007,LSO,863.7796315
2007,LTU,12297.91535
2007,LUX,106018.4928
2007,LVA,14042.46242
2007,MAC,36352.91846
2007,MAF,
2007,MAR,2499.259938
2007,MCO,169961.3839
2007,MDA,1531.685476
2007,MDG,438.6552901
2007,MDV,5574.451876
2007,MEX,9642.680605
2007,MHL,2745.438975
2007,MKD,4036.20277
2007,MLI,596.6901888
2007,MLT,19375.5696
2007,MMR,406.7286892
2007,MNE,5976.394145
2007,MNG,1632.726952
2007,MNP,16986.90668
2007,MOZ,480.9335201
2007,MRT,1351.456842
2007,MUS,6574.654338
2007,MWI,332.2591444
2007,MYS,7243.455987
2007,NAM,4356.244512
2007,NCL,
2007,NER,387.7808911
2007,NGA,1883.461311
2007,NIC,1327.959699
2007,NLD,51733.44213
2007,NOR,85139.96045
2007,NPL,391.3801314
2007,NRU,
2007,NZL,32511.12666
2007,OMN,15838.46561
2007,PAK,908.0950906
2007,PAN,6166.180721
2007,PER,3606.070435
2007,PHL,1744.640313
2007,PLW,10159.21808
2007,PNG,1401.947182
2007,POL,11255.37983
2007,PRI,23664.88235
2007,PRK,
2007,PRT,22782.09462
2007,PRY,2976.825503
2007,PSE,1575.5634
2007,PYF,
2007,QAT,65421.75277
2007,ROU,8360.166321
2007,RUS,9101.255049
2007,RWA,440.3301809
2007,SAU,16516.62362
2007,SDN,1128.41035
2007,SEN,1222.372918
2007,SGP,39432.93835
2007,SLB,1048.650015
2007,SLE,360.3721418
2007,SLV,2786.157922
2007,SMR,72709.79688
2007,SOM,479.6
2007,SRB,5848.476405
2007,SSD,
2007,STP,896.851612
2007,SUR,5744.759727
2007,SVK,16085.61152
2007,SVN,23787.64669
2007,SWE,53700.00534
2007,SWZ,3327.441875
2007,SXM,
2007,SYC,12154.82994
2007,SYR,2032.623489
2007,TCA,25456.30212
2007,TCD,798.5480013
2007,TGO,449.1442328
2007,THA,3973.016991
2007,TJK,526.6429154
2007,TKM,2600.369292
2007,TLS,523.7336977
2007,TON,2925.91276
2007,TTO,16539.87811
2007,TUN,3775.75001
2007,TUR,9711.873594
2007,TUV,2644.591921
2007,TZA,552.8395296
2007,UGA,416.8986194
2007,UKR,3065.611294
2007,URY,7026.511491
2007,USA,47975.96768
2007,UZB,830.4076942
2007,VCT,6307.214096
2007,VEN,8454.466743
2007,VGB,
2007,VIR,44333.06566
2007,VNM,906.2841981
2007,VUT,2398.612625
2007,WSM,3133.654113
2007,XKX,2685.986222
2007,YEM,1017.292001
2007,ZAF,6095.622439
2007,ZMB,1124.290586
2007,ZWE,431.7871883
