year,eez_country,GDP
2011,ABW,24985.99328
2011,AFG,591.162759
2011,AGO,4615.468028
2011,ALB,4437.142885
2011,AND,43335.32886
2011,ARE,39194.67662
2011,ARG,12848.8642
2011,ARM,3525.804747
2011,ASM,10294.30227
2011,ATG,12746.20502
2011,AUS,62517.83375
2011,AUT,51374.95841
2011,AZE,7189.691229
2011,BDI,249.5779794
2011,BEL,47348.52502
2011,BEN,1130.273132
2011,BFA,751.1729572
2011,BGD,861.7584443
2011,BGR,7806.348652
2011,BHR,22514.23795
2011,BHS,28006.37972
2011,BIH,5092.551943
2011,BLR,6519.230195
2011,BLZ,4423.489797
2011,BMU,85973.15842
2011,BOL,2346.33717
2011,BRA,13245.6125
2011,BRB,16458.35321
2011,BRN,47055.84112
2011,BTN,2563.257527
2011,BWA,7617.325094
2011,CAF,551.7500966
2011,CAN,52087.44638
2011,CHE,88415.62806
2011,CHI,
2011,CHL,14637.24024
2011,CHN,5618.132491
2011,CIV,1208.583026
2011,CMR,1405.094392
2011,COD,387.0824654
2011,COG,3286.694535
2011,COL,7335.11051
2011,COM,1447.963587
2011,CPV,3740.389099
2011,CRI,9121.932518
2011,CUB,6139.71933
2011,CUW,20146.38641
2011,CYM,72328.41164
2011,CYP,32396.38574
2011,CZE,21717.45794
2011,DEU,46644.77603
2011,DJI,1451.54298
2011,DMA,7065.061847
2011,DNK,61753.64713
2011,DOM,5913.432072
2011,DZA,5455.853529
2011,ECU,5200.55579
2011,EGY,2791.954962
2011,ERI,642.5076591
2011,ESP,31636.44631
2011,EST,17621.54744
2011,ETH,354.4795758
2011,FIN,51081.99767
2011,FJI,4371.45751
2011,FRA,43790.73205
2011,FRO,52083.88914
2011,FSM,3009.198647
2011,GAB,10809.64645
2011,GBR,42038.57225
2011,GEO,4021.743306
2011,GHA,1549.462902
2011,GIB,
2011,GIN,651.1353635
2011,GMB,762.7610541
2011,GNB,702.7428804
2011,GNQ,21641.87052
2011,GRC,25916.29353
2011,GRD,7291.058897
2011,GRL,47186.98147
2011,GTM,3281.667502
2011,GUM,30859.40435
2011,GUY,3425.436441
2011,HKG,35142.48793
2011,HND,2088.3153
2011,HRV,14566.63847
2011,HTI,744.2174268
2011,HUN,14150.96673
2011,IDN,3643.043936
2011,IMN,77351.95888
2011,IND,1458.103527
2011,IRL,51848.90973
2011,IRN,7781.406114
2011,IRQ,6045.495551
2011,ISL,47516.87469
2011,ISR,33669.24647
2011,ITA,38599.06221
2011,JAM,5111.471413
2011,JOR,3816.279258
2011,JPN,48167.99727
2011,KAZ,11634.0019
2011,KEN,971.633329
2011,KGZ,1123.883168
2011,KHM,882.2754926
2011,KIR,1735.018358
2011,KNA,16538.17144
2011,KOR,25096.26388
2011,KWT,48631.6913
2011,LAO,1378.361365
2011,LBN,7674.83535
2011,LBR,596.8970811
2011,LBY,5554.179164
2011,LCA,8983.436673
2011,LIE,158156.5998
2011,LKA,3200.833829
2011,LSO,1308.690066
2011,LTU,14354.18838
2011,LUX,115761.5077
2011,LVA,13832.39118
2011,MAC,66644.38534
2011,MAF,
2011,MAR,3046.949136
2011,MCO,169020.8878
2011,MDA,2942.255949
2011,MDG,531.2655718
2011,MDV,7291.42764
2011,MEX,10203.42085
2011,MHL,3083.83188
2011,MKD,5063.786986
2011,MLI,837.6034406
2011,MLT,22858.58609
2011,MMR,1176.242453
2011,MNE,7318.74469
2011,MNG,3757.558633
2011,MNP,13571.05828
2011,MOZ,594.5864667
2011,MRT,1879.771427
2011,MUS,9197.026972
2011,MWI,534.9512647
2011,MYS,10399.37275
2011,NAM,5723.32549
2011,NCL,
2011,NER,508.3965681
2011,NGA,2520.404166
2011,NIC,1655.801824
2011,NLD,54159.34661
2011,NOR,100600.5624
2011,NPL,699.4293377
2011,NRU,6568.102582
2011,NZL,38437.54316
2011,OMN,20921.14598
2011,PAK,1164.976129
2011,PAN,9358.251475
2011,PER,5869.32308
2011,PHL,2450.733656
2011,PLW,10884.41251
2011,PNG,2406.909679
2011,POL,13893.50926
2011,PRI,27278.88305
2011,PRK,
2011,PRT,23186.91313
2011,PRY,5322.96376
2011,PSE,2695.193853
2011,PYF,
2011,QAT,82409.58033
2011,ROU,9104.995622
2011,RUS,14311.08432
2011,RWA,671.50994
2011,SAU,23745.80161
2011,SDN,1437.773295
2011,SEN,1373.520789
2011,SGP,53890.42873
2011,SLB,1722.418121
2011,SLE,448.3375255
2011,SLV,3266.045875
2011,SMR,57286.655
2011,SOM,235.3
2011,SRB,6809.159804
2011,SSD,1516.403915
2011,STP,1263.868022
2011,SUR,8263.172923
2011,SVK,18338.36223
2011,SVN,25095.13263
2011,SWE,60755.75955
2011,SWZ,4496.600379
2011,SXM,
2011,SYC,12189.09516
2011,SYR,
2011,TCA,21835.08314
2011,TCD,984.7358915
2011,TGO,587.0971368
2011,THA,5492.121256
2011,TJK,847.3821018
2011,TKM,5649.952278
2011,TLS,947.5137304
2011,TON,4084.624132
2011,TTO,19034.1492
2011,TUN,4264.674946
2011,TUR,11335.51051
2011,TUV,3640.72324
2011,TZA,781.4370143
2011,UGA,825.8384352
2011,UKR,3569.758121
2011,URY,14236.68119
2011,USA,49886.81811
2011,UZB,1926.292997
2011,VCT,6242.195332
2011,VEN,10955.34991
2011,VGB,
2011,VIR,39144.16577
2011,VNM,1525.115988
2011,VUT,3264.537017
2011,WSM,3933.459357
2011,XKX,3741.875052
2011,YEM,1374.621285
2011,ZAF,8007.412846
2011,ZMB,1672.908251
2011,ZWE,1093.654002
