year,eez_country,GDP
1998,ABW,19078.34319
1998,AFG,
1998,AGO,423.5936602
1998,ALB,813.7902636
1998,AND,18894.5215
1998,ARE,26899.60177
1998,ARG,8289.505729
1998,ARM,609.1724375
1998,ASM,
1998,ATG,9940.191639
1998,AUS,21318.96417
1998,AUT,27361.87511
1998,AZE,561.9070354
1998,BDI,144.493064
1998,BEL,25338.44329
1998,BEN,379.442354
1998,BFA,255.7182334
1998,BGD,407.4291862
1998,BGR,1820.405094
1998,BHR,10076.22062
1998,BHS,23514.42031
1998,BIH,1102.390983
1998,BLR,1511.770053
1998,BLZ,2992.444754
1998,BMU,51371.74081
1998,BOL,1049.499374
1998,BRA,5087.152221
1998,BRB,10459.3648
1998,BRN,12693.79098
1998,BTN,667.9136238
1998,BWA,3039.970731
1998,CAF,278.3313409
1998,CAN,20952.06946
1998,CHE,41497.20261
1998,CHI,40585.38258
1998,CHL,5446.580613
1998,CHN,828.5804793
1998,CIV,809.0126883
1998,CMR,720.7969746
1998,COD,138.5863064
1998,COG,660.4723724
1998,COL,2566.02406
1998,COM,718.1170893
1998,CPV,1265.194783
1998,CRI,3579.865884
1998,CUB,2331.465648
1998,CUW,
1998,CYM,
1998,CYP,15092.82625
1998,CZE,6458.904501
1998,DEU,27289.05936
1998,DJI,755.7616936
1998,DMA,4593.714495
1998,DNK,33368.14242
1998,DOM,2638.34948
1998,DZA,1596.003714
1998,ECU,2293.889735
1998,EGY,1281.39672
1998,ERI,337.8876643
1998,ESP,15394.35146
1998,EST,4087.503306
1998,ETH,125.0761411
1998,FIN,26009.26949
1998,FJI,2070.574624
1998,FRA,24974.2722
1998,FRO,24034.24681
1998,FSM,2022.707194
1998,GAB,3831.780668
1998,GBR,28214.27436
1998,GEO,851.5157446
1998,GHA,407.5233036
1998,GIB,
1998,GIN,456.4910353
1998,GMB,678.6756302
1998,GNB,178.8485197
1998,GNQ,663.729505
1998,GRC,13472.13764
1998,GRD,4370.703998
1998,GRL,20496.66137
1998,GTM,1755.849582
1998,GUM,
1998,GUY,951.9124771
1998,HKG,25808.97095
1998,HND,1023.460569
1998,HRV,5619.200373
1998,HTI,455.5418961
1998,HUN,4744.212264
1998,IDN,463.9481695
1998,IMN,18447.99714
1998,IND,413.2989342
1998,IRL,24263.2448
1998,IRN,1723.835367
1998,IRQ,900.9
1998,ISL,30995.02968
1998,ISR,19415.98507
1998,ITA,22318.1373
1998,JAM,3359.005841
1998,JOR,1622.855464
1998,JPN,31902.7671
1998,KAZ,1468.701798
1998,KEN,465.909801
1998,KGZ,345.1381316
1998,KHM,268.9904186
1998,KIR,801.1040397
1998,KNA,8867.382662
1998,KOR,8281.699982
1998,KWT,14166.1796
1998,LAO,248.8390431
1998,LBN,4669.577803
1998,LBR,
1998,LBY,5243.590481
1998,LCA,5733.901931
1998,LIE,76745.42233
1998,LKA,850.8114206
1998,LSO,464.8063925
1998,LTU,3166.895648
1998,LUX,47584.46439
1998,LVA,2965.073007
1998,MAC,16460.21462
1998,MAF,
1998,MAR,1472.38562
1998,MCO,92995.90636
1998,MDA,578.9097663
1998,MDG,297.2536718
1998,MDV,2011.869392
1998,MEX,5481.181497
1998,MHL,2229.712447
1998,MKD,1866.85009
1998,MLI,281.8726309
1998,MLT,10183.67599
1998,MMR,146
1998,MNE,
1998,MNG,477.3347341
1998,MNP,
1998,MOZ,333.8426027
1998,MRT,814.1706614
1998,MUS,3593.234081
1998,MWI,165.8953935
1998,MYS,3263.33385
1998,NAM,2209.772147
1998,NCL,15387.86958
1998,NER,248.9209554
1998,NGA,469.4305648
1998,NIC,943.9218956
1998,NLD,27885.80838
1998,NOR,34788.35985
1998,NPL,210.6114878
1998,NRU,
1998,NZL,14738.44557
1998,OMN,6254.983965
1998,PAK,461.2167361
1998,PAN,3974.667035
1998,PER,2163.120031
1998,PHL,966.989169
1998,PLW,
1998,PNG,678.8972756
1998,POL,4510.413117
1998,PRI,14304.40499
1998,PRK,
1998,PRT,12199.20639
1998,PRY,1812.994022
1998,PSE,1465.046057
1998,PYF,16302.46058
1998,QAT,18593.54892
1998,ROU,1852.467309
1998,RUS,1834.861843
1998,RWA,285.7101918
1998,SAU,7419.160019
1998,SDN,355.1524309
1998,SEN,681.2600726
1998,SGP,21829.29987
1998,SLB,1206.0032
1998,SLE,153.458527
1998,SLV,1886.35964
1998,SMR,
1998,SOM,363.2
1998,SRB,2571.17271
1998,SSD,
1998,STP,513.6
1998,SUR,2415.77884
1998,SVK,5538.616465
1998,SVN,11175.7711
1998,SWE,30596.5272
1998,SWZ,1609.220662
1998,SXM,
1998,SYC,7715.918147
1998,SYR,974.4387618
1998,TCA,
1998,TCD,224.553884
1998,TGO,342.658274
1998,THA,1845.82887
1998,TJK,219.0404999
1998,TKM,590.393217
1998,TLS,
1998,TON,1944.585264
1998,TTO,4790.138924
1998,TUN,2292.712947
1998,TUR,4496.49682
1998,TUV,1367.084534
1998,TWN,12767.078
1998,TZA,395.5326846
1998,UGA,295.405358
1998,UKR,835.2509542
1998,URY,7713.618771
1998,USA,32853.67698
1998,UZB,623.2161328
1998,VCT,3465.829184
1998,VEN,3921.718979
1998,VGB,
1998,VIR,
1998,VNM,348.3243262
1998,VUT,1473.710174
1998,WSM,1559.147665
1998,XKX,
1998,YEM,384.4998469
1998,ZAF,3154.020777
1998,ZMB,358.5558862
1998,ZWE,544.9841629
