year,eez_country,GDP
1999,ABW,19356.20339
1999,AFG,
1999,AGO,387.784316
1999,ALB,1033.241693
1999,AND,19261.7105
1999,ARE,28470.83786
1999,ARG,7774.736203
1999,ARM,597.4325147
1999,ASM,
1999,ATG,10260.58502
1999,AUS,20533.03506
1999,AUT,27174.29716
1999,AZE,573.8932966
1999,BDI,128.9390833
1999,BEL,25244.27505
1999,BEN,551.6193869
1999,BFA,298.228174
1999,BGD,409.5431969
1999,BGR,1659.718346
1999,BHR,10401.54581
1999,BHS,26130.10182
1999,BIH,1251.747261
1999,BLR,1210.61172
1999,BLZ,3065.979673
1999,BMU,54245.45974
1999,BOL,1003.392231
1999,BRA,3478.37273
1999,BRB,10914.44367
1999,BRN,14101.34576
1999,BTN,725.1247411
1999,BWA,3405.812598
1999,CAF,280.908819
1999,CAN,22238.66454
1999,CHE,40581.30705
1999,CHI,42443.43233
1999,CHL,4957.777884
1999,CHN,873.2870617
1999,CIV,771.968406
1999,CMR,740.9965643
1999,COD,102.5979776
1999,COG,774.7116899
1999,COL,2209.93148
1999,COM,723.1850928
1999,CPV,1408.999608
1999,CRI,3653.552719
1999,CUB,2558.904794
1999,CUW,
1999,CYM,
1999,CYP,15287.91913
1999,CZE,6307.698004
1999,DEU,26725.91522
1999,DJI,765.856135
1999,DMA,4750.612157
1999,DNK,33440.79481
1999,DOM,2653.344012
1999,DZA,1588.347503
1999,ECU,1578.933536
1999,EGY,1343.551963
1999,ERI,307.9108725
1999,ESP,15715.33227
1999,EST,4144.630817
1999,ETH,119.684067
1999,FIN,26177.34798
1999,FJI,2408.735921
1999,FRA,24673.19897
1999,FRO,24125.25588
1999,FSM,2042.479658
1999,GAB,3888.898927
1999,GBR,28669.53969
1999,GEO,673.5378927
1999,GHA,410.3342297
1999,GIB,
1999,GIN,429.719768
1999,GMB,637.9315702
1999,GNB,190.6726301
1999,GNQ,1067.634779
1999,GRC,13245.18946
1999,GRD,4705.652241
1999,GRL,20170.43842
1999,GTM,1619.510736
1999,GUM,
1999,GUY,926.7428086
1999,HKG,25091.6666
1999,HND,1002.715198
1999,HRV,5185.584437
1999,HTI,499.3037489
1999,HUN,4793.478522
1999,IDN,671.0986161
1999,IMN,20624.27674
1999,IND,441.9987596
1999,IRL,26284.34198
1999,IRN,1756.896667
1999,IRQ,1560.4
1999,ISL,32343.99159
1999,ISR,19120.25065
1999,ITA,21997.62432
1999,JAM,3362.200664
1999,JOR,1642.351331
1999,JPN,36026.55608
1999,KAZ,1130.113592
1999,KEN,414.6793898
1999,KGZ,258.0492288
1999,KHM,295.9033277
1999,KIR,831.9946255
1999,KNA,9322.626714
1999,KOR,10672.41793
1999,KWT,15435.17859
1999,LAO,277.8098415
1999,LBN,4640.379461
1999,LBR,
1999,LBY,6819.033114
1999,LCA,5947.623161
1999,LIE,81297.14349
1999,LKA,838.8838674
1999,LSO,451.9271579
1999,LTU,3113.546428
1999,LUX,51654.4028
1999,LVA,3144.991127
1999,MAC,15513.46901
1999,MAF,
1999,MAR,1447.968739
1999,MCO,91257.67202
1999,MDA,399.6207703
1999,MDG,279.9213415
1999,MDV,2154.228846
1999,MEX,6157.192475
1999,MHL,2267.344267
1999,MKD,1908.592601
1999,MLI,323.1686388
1999,MLT,10648.9889
1999,MMR,189.5
1999,MNE,
1999,MNG,444.9951451
1999,MNP,
1999,MOZ,341.4809152
1999,MRT,775.2717114
1999,MUS,3695.934909
1999,MWI,163.6142468
1999,MYS,3492.669354
1999,NAM,2165.113225
1999,NCL,14611.8328
1999,NER,230.6392969
1999,NGA,497.8415405
1999,NIC,972.8869884
1999,NLD,28263.09671
1999,NOR,36371.05095
1999,NPL,214.106767
1999,NRU,
1999,NZL,15322.22383
1999,OMN,6967.102921
1999,PAK,454.2761254
1999,PAN,4082.615957
1999,PER,1924.486567
1999,PHL,1087.378156
1999,PLW,
1999,PNG,608.2820627
1999,POL,4389.976415
1999,PRI,15220.99134
1999,PRK,
1999,PRT,12471.07936
1999,PRY,1694.110236
1999,PSE,1499.492177
1999,PYF,16073.99879
1999,QAT,21723.69996
1999,ROU,1599.889533
1999,RUS,1330.757236
1999,RWA,242.3140657
1999,SAU,8007.95978
1999,SDN,328.0685926
1999,SEN,680.5723504
1999,SGP,21796.08444
1999,SLB,1200.774161
1999,SLE,150.0062901
1999,SLV,1930.623493
1999,SMR,40858.30383
1999,SOM,386.1
1999,SRB,2571.305177
1999,SSD,
1999,STP,542.7
1999,SUR,1904.424719
1999,SVK,5643.675109
1999,SVN,11452.78279
1999,SWE,30941.07936
1999,SWZ,1557.058632
1999,SXM,
1999,SYC,7747.612159
1999,SYR,991.2508329
1999,TCA,
1999,TCD,190.5589772
1999,TGO,329.6959964
1999,THA,2033.257944
1999,TJK,177.5597157
1999,TKM,548.6991476
1999,TLS,
1999,TON,2017.671721
1999,TTO,5387.138813
1999,TUN,2386.589244
1999,TUR,4108.123199
1999,TUV,1464.49188
1999,TWN,13752.716
1999,TZA,400.2636844
1999,UGA,261.347861
1999,UKR,635.7579226
1999,URY,7250.259428
1999,USA,34513.5615
1999,UZB,702.4807441
1999,VCT,3625.89458
1999,VEN,4127.107938
1999,VGB,
1999,VIR,
1999,VNM,362.9195028
1999,VUT,1478.494057
1999,WSM,1490.900625
1999,XKX,
1999,YEM,451.5711388
1999,ZAF,3081.569927
1999,ZMB,335.7123907
1999,ZWE,580.0707181
