date,time,longitude,latitude,attack_type,location_description,nearest_country,eez_country,shore_distance,shore_longitude,shore_latitude,attack_description,vessel_name,vessel_type,vessel_status,data_source
01-01-2010,NA,47.3,12.5167,Hijacked,Gulf of Aden,YEM,YEM,118.0434512,46.82422936,13.47630443,NA,Pramoni,NA,Steaming,mappingpiracy
01-01-2010,NA,61.6167,10.7833,Hijacked,"About 620nm E of Somali Coast, Somalia",YEM,NA,795.8925189,54.54029382,12.55023835,NA,Asian Glory,NA,Steaming,mappingpiracy
03-01-2010,NA,132.755,1.6567,Attempted,Indonesia,IDN,PLW,177.3372745,131.2711695,1.072007554,NA,Treasure Sunshine,NA,Steaming,mappingpiracy
04-01-2010,NA,106.9025,-6.0977,Boarded,"Koja Container Terminal, Tanjung Priok, Indonesia",IDN,IDN,7.190095974,106.8377385,-6.102715753,NA,Sanya,NA,Berthed,mappingpiracy
05-01-2010,NA,-4,5.2997,Boarded,"Abidjan Outer Anchorage, Ivory Coast (Used coordinates from other cases)",CIV,CIV,0.5470932533,-3.999623176,5.30463288,NA,SCF Tomsk,NA,Anchored,mappingpiracy
09-01-2010,NA,112.8232,-7.1522,Boarded,"Petrokemia Terminal, Gresik Port, Indonesia (Located coordinates)",IDN,IDN,1.160722055,112.8181258,-7.161390883,NA,Bow Sagami,NA,Berthed,mappingpiracy
12-01-2010,NA,107.075,10.2533,Boarded,"Mui Vung Tau Outer Anchorage, Vietnam",VNM,VNM,7.844330175,107.0871688,10.32318757,NA,MSC Kiwi,NA,Anchored,mappingpiracy
13-01-2010,NA,116.3833,-3.2167,Boarded,"Tanjung Pemancingan, Indonesia",IDN,IDN,12.00408453,116.2763778,-3.232028904,NA,PFS Narayana,NA,Anchored,mappingpiracy
15-01-2010,NA,105.3,-5.5267,Boarded,"Tarahan Anchorage, Indonesia",IDN,IDN,4.876528263,105.2570093,-5.517266534,NA,Crane Island,NA,Anchored,mappingpiracy
16-01-2010,NA,48.7,12.9667,Attempted,Gulf of Aden,YEM,YEM,115.8353492,48.46876061,13.98895905,NA,Jag Layak,NA,Steaming,mappingpiracy
17-01-2010,NA,47.565,12.655,Attempted,Gulf of Aden,YEM,YEM,111.6392171,47.16684004,13.58559805,NA,Miltiades,NA,Steaming,mappingpiracy
18-01-2010,NA,116.65,-1.7,Boarded,"Adang Bay Anchorage, Indonesia",IDN,IDN,14.61384647,116.557465,-1.606215102,NA,Berlin,NA,Anchored,mappingpiracy
20-01-2010,NA,-80.4433,-2.775,Boarded,"Guayaquil Outer Anchorage, Ecuador",ECU,ECU,14.0578699,-80.37751217,-2.666436456,NA,Patent,NA,Anchored,mappingpiracy
21-01-2010,NA,120.9207,14.5623,Boarded,"Manila South Harbor Anchorage, Philippines",PHL,PHL,5.24653319,120.9588322,14.59178295,NA,British Holly,NA,Anchored,mappingpiracy
22-01-2010,NA,104.0865,1.2427,Attempted,"Malaysia (Located between Singapore and Indonesia, closer to Indonesia)",IDN,IDN,6.086292598,104.0905868,1.187811591,NA,Alina XXIII,NA,Steaming,mappingpiracy
22-01-2010,NA,82.3117,17.005,Boarded,"Kakinada Anchorage, India",IND,IND,2.252333843,82.29167728,16.99843985,NA,Osprey Explorer,NA,Anchored,mappingpiracy
