date,time,longitude,latitude,attack_type,location_description,nearest_country,eez_country,shore_distance,shore_longitude,shore_latitude,attack_description,vessel_name,vessel_type,vessel_status,data_source
01-01-1999,NA,91.7932,22.2166667,Boarding,"Kutubdia, Chittagong, Bangladesh",BGD,BGD,2.329971162,91.81202233,22.20502351,NA,Lynx,NA,Anchored,mappingpiracy
01-01-1999,NA,-79.9,-2.2666667,Boarding,"Guayaquil, Ecuador",ECU,ECU,3.859231799,-79.86530514,-2.266778253,NA,Wisida Nordic,NA,Anchored,mappingpiracy
03-01-1999,NA,48.4136,4.9115,Hijacked,Somalian Waters,SOM,SOM,20.83466191,48.32886804,5.079657294,NA,Johanna,NA,NA,mappingpiracy
04-01-1999,NA,105.95,-6.0166667,Boarding,"Cigading, Indonesia",IDN,IDN,2.133135886,105.9570419,-5.998711847,NA,Santa Bahari,NA,NA,mappingpiracy
05-01-1999,NA,103.06,6.9833333,Attempted,South China Sea,MYS,MYS,119.6854805,102.3381454,6.176988023,NA,Sinar Lombok,NA,Steaming,mappingpiracy
07-01-1999,NA,-7.6167,33.6,Boarding,"Casablanca, Morocco",MAR,MAR,1.039577567,-7.617258267,33.60936107,NA,Anna Theresa,NA,Berthed,mappingpiracy
09-01-1999,NA,104.035,1.2433333,Attempted,Singapore Straits,IDN,IDN,6.146972404,104.0309351,1.187892971,NA,Presnya,NA,Anchored,mappingpiracy
11-01-1999,NA,103.7883,1.15,Boarding,Singapore Straits,SGP,IDN,12.77976812,103.8016057,1.264797268,NA,Petro Concord,NA,Anchored,mappingpiracy
12-01-1999,NA,103.75,1.1166667,Boarding,Singapore Straits,IDN,IDN,15.60093514,103.8447372,1.012681382,NA,Jurong Begonia,NA,Steaming,mappingpiracy
13-01-1999,NA,103.5,1.05,Boarding,Singapore Straits,IDN,IDN,7.542758432,103.4406031,1.017157294,NA,Shoryu Emmy,NA,Steaming,mappingpiracy
14-01-1999,NA,5,5.5,Boarding,"Escravos Bar, Nigeria",NGA,NGA,20.0486878,5.144867384,5.608628648,NA,Baco Liner 3,NA,Anchored,mappingpiracy
15-01-1999,NA,9.6667,4.0431667,Boarding,"Douala, Cameroon",CMR,CMR,1.430647464,9.675629102,4.033840236,NA,Britta,NA,Berthed,mappingpiracy
15-01-1999,NA,101.783,2.5167,Boarding,"Off Port Dickson, Malaysia",MYS,MYS,2.254868477,101.8032333,2.518011786,NA,NA,NA,Steaming,mappingpiracy
15-01-1999,NA,103.9502,1.3086,Boarding,"Philip Channel, Singapore Straits",SGP,SGP,1.147924969,103.9543563,1.318101304,NA,Cumbrian Express,NA,Steaming,mappingpiracy
15-01-1999,NA,105.4133,-5.7083333,Boarding,"Panjang, Indonesia",IDN,IDN,9.508996676,105.4835718,-5.658949477,NA,Vira Bhum,NA,Steaming,mappingpiracy
16-01-1999,NA,9.9265,44.3931667,Boarding,"Genoa, Italy",ITA,ITA,32.28437956,9.844737175,44.10862865,NA,Nordana Benefactor,NA,Berthed,mappingpiracy
16-01-1999,NA,-43.1667,-22.8933333,Boarding,"Rio de Janeiro, Brazil",BRA,BRA,0.5391398523,-43.16209876,-22.8956845,NA,Millenium Condor,NA,Steaming,mappingpiracy
16-01-1999,NA,103.6983,1.08,Boarding,"Philip Channel, Singapore Straits",IDN,IDN,17.81320113,103.8388778,1.002997137,NA,Chaumont,NA,Steaming,mappingpiracy
18-01-1999,NA,103.695,1.06,Boarding,Singapore Straits,IDN,IDN,17.20962761,103.8388778,1.002997137,NA,Akmala,NA,Steaming,mappingpiracy
19-01-1999,NA,-43.1667,-22.8933333,Boarding,"Rio de Janeiro, Brazil",BRA,BRA,0.5391398523,-43.16209876,-22.8956845,NA,NA,NA,NA,mappingpiracy
23-01-1999,NA,-4,5.2931667,Boarding,"Abidjan, Ivory Coast",CIV,CIV,1.268660948,-3.999623176,5.30463288,NA,Tn Diamond,NA,Anchored,mappingpiracy
26-01-1999,NA,104.4217,1.3566667,Boarding,Singapore Straits,MYS,MYS,15.76611717,104.2823999,1.382635809,NA,Nanshin,NA,Steaming,mappingpiracy
26-01-1999,NA,106.983,-2.967,Boarding,"Selat Laplia, Around Selasa, Gelasa, Indonesia",IDN,IDN,7.689629245,106.9157007,-2.950941665,NA,Falcon,NA,Steaming,mappingpiracy
29-01-1999,NA,3.3767,6.45,Boarding,"Lagos roads, Nigeria",NGA,NGA,0.745848921,3.37387129,6.456122137,NA,Izmaylovo,NA,Steaming,mappingpiracy
31-01-1999,NA,118.0833,-3.4166667,Attempted,Indonesia,IDN,IDN,83.28759596,118.781993,-3.14430104,NA,Energy Pegasus,NA,Steaming,mappingpiracy
31-01-1999,NA,39.3533,-6.775,Boarding,"Dar Es Salaam, Tanzania",TZA,TZA,5.977859498,39.32650801,-6.821954034,NA,Lowlwat Qatar,NA,Steaming,mappingpiracy
06-02-1999,NA,113.0667,3.2666667,Boarding,"Bintulu, Malaysia",MYS,MYS,1.394944766,113.0693466,3.278998114,NA,Beluga,NA,Anchored,mappingpiracy
14-02-1999,NA,106.7,20.85,Boarding,"Haiphong, Vietnam",VNM,VNM,2.427766472,106.7075301,20.8707543,NA,Eglantine,NA,Berthed,mappingpiracy
15-02-1999,NA,117.5767,8.1333333,Boarding,"Bontang, Indonesia",PHL,PHL,25.73901723,117.3595484,8.219061591,NA,Thor Sea,NA,Anchored,mappingpiracy
16-02-1999,NA,117.15,-0.5265,Boarding,"Muara Jawa, Samarinda, Indonesia",IDN,IDN,32.43935797,117.4414169,-0.525160415,NA,Apollo Delapan,NA,Anchored,mappingpiracy
21-02-1999,NA,-44.0265,-23.0166667,Boarding,"Guaiba Island, Brazil",BRA,BRA,4.428321196,-44.00145423,-23.04924896,NA,Tiangshenghai,NA,Anchored,mappingpiracy
22-02-1999,NA,39.3533,-6.775,Boarding,"Dar Es Salaam, Tanzania",TZA,TZA,5.977859498,39.32650801,-6.821954034,NA,George,NA,Anchored,mappingpiracy
22-02-1999,NA,5.5932,4.25,Boarding,"Pennington Terminal, Nigeria",NGA,NGA,30.9799955,5.782399936,4.455959377,NA,NA,NA,Anchored,mappingpiracy
22-02-1999,NA,-13.7167,9.5166667,Boarding,"Conakry, Guinea",GIN,GIN,0.6667148247,-13.71890215,9.522284247,NA,NA,NA,Anchored,mappingpiracy
22-02-1999,NA,-13.7167,9.5166667,Boarding,"Conakry, Guinea",GIN,GIN,0.6667148247,-13.71890215,9.522284247,NA,Flint,NA,Steaming,mappingpiracy
22-02-1999,NA,-44.0265,-23.0166667,Boarding,"Guaiba Island, Brazil",BRA,BRA,4.428321196,-44.00145423,-23.04924896,NA,Cape Iris,NA,Berthed,mappingpiracy
24-02-1999,NA,103.8689,1.2294,Boarding,Singapore Straits,SGP,SGP,5.130206239,103.8440861,1.268500067,NA,Andhika Adinugraha,NA,Steaming,mappingpiracy
26-02-1999,NA,98.6767,3.7766667,Boarding,"Belawan, Indonesia",IDN,IDN,4.815190419,98.71062259,3.803778387,NA,Stolt Efficiency,NA,Anchored,mappingpiracy
26-02-1999,NA,107.31,-3.0333333,Attempted,Indonesia,IDN,IDN,14.38145653,107.3984536,-2.938427948,NA,Ya Samadu,NA,Steaming,mappingpiracy
02-03-1999,NA,112.7467,-7.1885,Boarding,"Surabaya Anchorage, Indonesia",IDN,IDN,1.852101831,112.7451278,-7.205173435,NA,Alaska Rainbow,NA,Anchored,mappingpiracy
02-03-1999,NA,100.6167,13.3333333,Boarding,"Bangkok bar, Thailand",THA,THA,20.62658823,100.6798609,13.50922272,NA,Kimanis,NA,Anchored,mappingpiracy
02-03-1999,NA,-76.8382,17.975,Boarding,"Kingston, Jamaica",JAM,JAM,1.265529862,-76.83682901,17.9863586,NA,Brage Atlantic,NA,Steaming,mappingpiracy
