date,time,longitude,latitude,attack_type,location_description,nearest_country,eez_country,shore_distance,shore_longitude,shore_latitude,attack_description,vessel_name,vessel_type,vessel_status,data_source
02-01-2006,NA,104.5933,-5.5265,Boarded,"Teluk Semangka Anchorage, SW Sumatra Island, Indonesia (Located coordinates)",IDN,IDN,3.087662547,104.5870874,-5.499281508,NA,Torm Ingeborg,NA,Anchored,mappingpiracy
06-01-2006,NA,112.9833,-2.5667,Hijacked,"Off Sampit, Indonesia",IDN,IDN,39.81257822,113.0351669,-2.922946873,NA,Alfa Gemilang,NA,Steaming,mappingpiracy
07-01-2006,NA,49.3467,13.9767,Attempted,Gulf of Aden,YEM,YEM,53.42890623,49.00367272,14.32477448,NA,Golden Friendship,NA,Steaming,mappingpiracy
07-01-2006,NA,49.15,13.7167,Attempted,Gulf of Aden,YEM,YEM,59.09648511,48.73829186,14.06818268,NA,Golden Friendship,NA,Steaming,mappingpiracy
11-01-2006,NA,106.9,-6.1,Boarded,"JICT Terminal, Pier No. 1, Jakarta, Indonesia (aka Tanjung Priok, located coordinates)",IDN,IDN,6.898461425,106.8377385,-6.102715753,NA,CSCL Felixstowe,NA,Berthed,mappingpiracy
11-01-2006,NA,5.35,4.8167,Boarded,"8m SW of Dodo River, Off EA Oilfield, Nigeria",NGA,NGA,14.32418832,5.47543379,4.847479559,NA,Liberty Service,NA,Steaming,mappingpiracy
13-01-2006,NA,106.9,-6.1,Boarded,"Jakarta Anchorage, Indonesia (Used coordinates from other incidents)",IDN,IDN,6.898461425,106.8377385,-6.102715753,NA,Golden Top,NA,Anchored,mappingpiracy
13-01-2006,NA,106.8878,-6.041,Boarded,"Tg, Priok Anchorage, Indonesia",IDN,IDN,8.791530492,106.8377385,-6.102715753,NA,Iberian Express,NA,Anchored,mappingpiracy
14-01-2006,NA,98.359,7.605,Hijacked,"Racha Yas Island, Off Phuket, Thailand (Measured 300m from shore in cove with other anchored vessels on E side of island)",THA,THA,18.77491303,98.32309004,7.770941473,NA,Wado Ryu,NA,Anchored,mappingpiracy
15-01-2006,NA,101.465,1.7133,Boarded,"Dumai Anchorage, Indonesia (Used coordinates from other incidents)",IDN,IDN,3.863804915,101.4907333,1.736761786,NA,Siam Suchada,NA,Anchored,mappingpiracy
15-01-2006,NA,121,12.5,Boarded,"Bashi Channel, Philippines",PHL,PHL,6.66683667,120.9389755,12.49396393,NA,Man Chun Yi,NA,Steaming,mappingpiracy
17-01-2006,NA,117.6403,0.5367,Boarded,"Tg. Bara Anchorage, Indonesia (Located coordinates)",IDN,IDN,4.430056065,117.6203719,0.502020575,NA,Ji May,NA,Anchored,mappingpiracy
20-01-2006,NA,52.5767,5.4183,Attempted,"213nm E of Somali Coast, Somalia",SOM,NA,391.6817952,49.58659916,7.314764716,NA,Delta Ranger,NA,Steaming,mappingpiracy
20-01-2006,NA,3.25,6.15,Attempted,"Lagos Anchorage, Nigeria",NGA,NGA,27.56960915,3.214203321,6.396714585,NA,Johann Oldendorff,NA,Steaming,mappingpiracy
21-01-2006,NA,41.75,15.8333,Attempted,Southern Red Sea,SAU,YEM,93.8191002,42.1558361,16.58497666,NA,Victoria Island,NA,Steaming,mappingpiracy
25-01-2006,NA,42.9833,13.46,Attempted,Southern Red Sea,YEM,YEM,30.24406334,43.25424238,13.52655671,NA,Dal Madagascar,NA,Steaming,mappingpiracy
27-01-2006,NA,-13.515,8.8617,Boarded,"Off Yelibuya Island, Sierra Leone (Measured 20km SW of Yelibuya Island)",SLE,SLE,27.62171402,-13.28844154,8.969468492,NA,Mujin 5,NA,Steaming,mappingpiracy
27-01-2006,NA,51.3167,11.9167,Attempted,"Off Cape Guardafui, Somalia",SOM,SOM,9.609724089,51.29269816,11.83310791,NA,Osman Mete,NA,Steaming,mappingpiracy
28-01-2006,NA,91.7667,22.1667,Boarded,"Chittagong B Anchorage, Bangladesh (Used coordinates from other incidents)",BGD,BGD,5.007752344,91.81299889,22.18032461,NA,Coastal Express I,NA,Anchored,mappingpiracy
29-01-2006,NA,-79.903,-2.2833,Boarded,"Inner Guayaquil Anchorage, Ecuador (Used coordinates from other incidents)",ECU,ECU,4.573608902,-79.86530514,-2.266778253,NA,Anglia,NA,Anchored,mappingpiracy
31-01-2006,NA,118.7587,4.506,Boarded,"Off Pulau Kulapuan, Semporna, Sabah, Malaysia (Measured approximately half distance between Pulau Kulapuan and coastal area of Semporna)",MYS,MYS,2.519580748,118.7487899,4.485500393,NA,NA,NA,Steaming,mappingpiracy
31-01-2006,NA,91.7667,22.1667,Boarded,"Chittagong Alpha Anchorage Area, Bangladesh  (Used coordinates from other incidents)",BGD,BGD,5.007752344,91.81299889,22.18032461,NA,Pacific Onyx,NA,Steaming,mappingpiracy
01-02-2006,NA,106.005,-5.8783,Boarded,"Merak Anchorage, Indoensia",IDN,IDN,2.345405432,106.0200301,-5.893243097,NA,Eco Vision,NA,Anchored,mappingpiracy
04-02-2006,NA,-77.1405,-12.0407,Boarded,"Callao Anchorage No. 1, Peru (Used coordinates from other incidents)",PER,PER,1.600900645,-77.15510006,-12.03899505,NA,Ocean Premier,NA,Anchored,mappingpiracy
05-02-2006,NA,4.2932,51.292,Boarded,"Antwerp Port, Belgium (Located coordinates)",NLD,BEL,0.8204203483,4.302989129,51.29608796,NA,Borkum,NA,Berthed,mappingpiracy
05-02-2006,NA,116.9817,-1.345,Boarded,"Balikpapan Anchorage, Indonesia",IDN,IDN,11.92212956,116.9576929,-1.239922784,NA,Trinity,NA,Anchored,mappingpiracy
07-02-2006,NA,104.1167,1.25,Attempted,Singapore Straits,IDN,IDN,6.854183714,104.1032007,1.189520575,NA,Bestair,NA,Steaming,mappingpiracy
13-02-2006,NA,-6.6193,4.4878,Boarded,"Off San Pedro, Ivory Coast (Measured 20km due S of San Pedro)",CIV,CIV,26.19847452,-6.626820442,4.724595445,NA,Aspen Arrow,NA,Anchored,mappingpiracy
14-02-2006,NA,91.735,22.29,Boarded,"Chittagong Anchorage B, Bangladesh (Used coordinates from other incidents)",BGD,BGD,5.007397397,91.77165775,22.26032136,NA,Mir Damad,NA,Anchored,mappingpiracy
