date,time,longitude,latitude,attack_type,location_description,nearest_country,eez_country,shore_distance,shore_longitude,shore_latitude,attack_description,vessel_name,vessel_type,vessel_status,data_source
04-01-2008,NA,107.1233,20.8633,Boarded,"Vinh Ha Long Inner Anchorage, Haiphong, Vietnam",VNM,VNM,5.961456688,107.0871688,20.82151927,NA,SYMS Husshan,NA,Steaming,mappingpiracy
04-01-2008,NA,3.3783,6.27,Attempted,"7.5nm off shore Lagos, Nigeria",NGA,NGA,14.13790766,3.384532097,6.397691148,NA,Althea,NA,Anchored,mappingpiracy
05-01-2008,NA,82.445,16.9967,Boarded,"Kakinada Roads, India",IND,IND,11.16142483,82.34888757,16.95648835,NA,Acavus,NA,Anchored,mappingpiracy
07-01-2008,NA,34.8295,-19.7998,Boarded,"Berth No.5, Beira Port, Mozambique",MOZ,MOZ,0.2349059802,34.82740319,-19.80055104,NA,W-O Noroe,NA,Berthed,mappingpiracy
08-01-2008,NA,0.0063,5.6223,Boarded,"Tema Anchorage, Ghana (Located port coordinates)",GHA,GHA,3.197048979,0.034515821,5.628363348,NA,Risanger,NA,Anchored,mappingpiracy
09-01-2008,NA,6.8012,4.0558,Boarded,"Bonny River, Nigeria (Coded as Port Harcourt; used coordinates from other incidents)",NGA,NGA,31.44819436,6.774587436,4.338934637,NA,Bourbon,NA,Steaming,mappingpiracy
10-01-2008,NA,103.575,1.0933,Attempted,"Phillip Channel, Singapore Straits",IDN,IDN,16.93262444,103.4314071,1.042710679,NA,Lion City River,NA,Steaming,mappingpiracy
14-01-2008,NA,13.3133,-8.715,Boarded,"Luanda Anchorage, Angola",AGO,AGO,4.879405538,13.29420007,-8.754815363,NA,Global Patriot,NA,Anchored,mappingpiracy
15-01-2008,NA,-64.65,11.05,Boarded,"Bahia de Robledal, Isla de Margarita, Venezuela",VEN,VEN,27.92019901,-64.40855872,10.96747468,NA,Ti Ve,NA,NA,mappingpiracy
16-01-2008,NA,82.4043,16.9695,Boarded,"Kakinada Roads, India",IND,IND,5.901299443,82.36117598,16.93602123,NA,Gondwana,NA,Steaming,mappingpiracy
18-01-2008,NA,3.3538,6.3462,Boarded,"3nm off Lagos, Nigeria",NGA,NGA,5.860840864,3.326182488,6.391424872,NA,Scottish Bard,NA,Anchored,mappingpiracy
19-01-2008,NA,108.0682,-1.7485,Boarded,"Karimata Straits, Indonesia",IDN,IDN,67.87767878,108.6772567,-1.713799738,NA,PU 2406 & PU 3006,NA,Steaming,mappingpiracy
23-01-2008,NA,13.2733,-8.77,Boarded,"Luanda Inner Anchorage, Angola",AGO,AGO,0.8162345253,13.28052819,-8.771661066,NA,Global Patriot,NA,Anchored,mappingpiracy
27-01-2008,NA,-9.5928,30.4257,Attempted,"Agadir Port, Morocco (Located port coordinates)",MAR,MAR,2.978641376,-9.611643033,30.40436433,NA,Safmarine Memling,NA,Berthed,mappingpiracy
29-01-2008,NA,82.0317,6.0133,Attempted,Sri Lanka,LKA,LKA,62.5772056,81.65007572,6.430853583,NA,Cobra,NA,Steaming,mappingpiracy
29-01-2008,NA,116.2765,3.2103,Boarded,"Pulau Laut Anchorage, Indonesia",IDN,IDN,93.9401878,117.0305282,3.594387111,NA,Princess Nadia,NA,Anchored,mappingpiracy
30-01-2008,NA,3.4115,6.2937,Boarded,"Lagos Anchorage, Nigeria",NGA,NGA,11.8809324,3.384532097,6.397691148,NA,Scottish Bard,NA,Anchored,mappingpiracy
30-01-2008,NA,-4,5.2932,Boarded,"Abidjan Inner Anchorage, Ivory Coast (Used coordinates from other incidents)",CIV,CIV,1.264980512,-3.999623176,5.30463288,NA,Go Friendship,NA,Anchored,mappingpiracy
31-01-2008,NA,8.6,3.2,Boarded,"15nm SW off Bioko Island, Equatorial Guinea (Georeferenced location placed incident in coastal waters of Milabo)",GNQ,GNQ,3.958105233,8.62761478,3.22260163,NA,Elbia,NA,Steaming,mappingpiracy
31-01-2008,NA,-77.1967,-12.03,Boarded,"Callao No.1 Anchorage, Peru",PER,PER,4.179936457,-77.16649329,-12.05331797,NA,Samsun Earnest,NA,Anchored,mappingpiracy
