date,time,longitude,latitude,attack_type,location_description,nearest_country,eez_country,shore_distance,shore_longitude,shore_latitude,attack_description,vessel_name,vessel_type,vessel_status,data_source
06-01-2007,NA,13.0518,-5.8658,Boarded,"Boma Anchorage, Congo River, DRC",COD,AGO,1.744029377,13.06722705,-5.862628663,NA,CEC Accord,NA,Anchored,mappingpiracy
07-01-2007,NA,104.088,-2.985,Boarded,"Pertamina Jetty No. 4, Plaju, Indonesia",IDN,IDN,54.57400937,104.5310979,-2.772637628,NA,Gas Fortune,NA,Berthed,mappingpiracy
08-01-2007,NA,3.3833,6.3167,Boarded,"Lagos Roads, Nigeria",NGA,NGA,8.957677524,3.384532097,6.397691148,NA,Trom Estrid,NA,Anchored,mappingpiracy
10-01-2007,NA,13.0518,-5.8658,Boarded,"Boma Anchorage, Congo River, DRC",COD,AGO,1.744029377,13.06722705,-5.862628663,NA,Niledutch Nordica,NA,Anchored,mappingpiracy
16-01-2007,NA,-77.1962,-12.0292,Attempted,"Callao Anchorage, Peru",PER,PER,4.192984746,-77.16649329,-12.05331797,NA,Maersk Rotterdam,NA,Anchored,mappingpiracy
16-01-2007,NA,39.5333,-6.58,Boarded,"18NM Off Dar Es Salaam Roads, Tanzania",TZA,TZA,13.24614263,39.50847416,-6.462823175,NA,CMA CGM Simba,NA,Steaming,mappingpiracy
18-01-2007,NA,108.4463,-6.2512,Boarded,"Balongan Anchorage, Indonesia",IDN,IDN,9.353592615,108.3645348,-6.272639434,NA,Kourion,NA,Anchored,mappingpiracy
19-01-2007,NA,116.4167,-3.2267,Boarded,"Pulau Laut (NPLCT) Anchorage, Indonesia",IDN,IDN,15.48048655,116.2785751,-3.244724217,NA,Power Steel,NA,Anchored,mappingpiracy
20-01-2007,NA,5.4083,5.5583,Hijacked,"Chanomi Creek, Nigeria",NGA,NGA,1.732751593,5.392832879,5.560614325,NA,Baco-Liner 2,NA,Steaming,mappingpiracy
21-01-2007,NA,80.0321,9.822,Attempted,"Kanka santhurai Harbour, Jaffna Peninsula, Sri Lanka",LKA,LKA,3.846936051,80.066661,9.816107489,NA,City of Liverpool,NA,Steaming,mappingpiracy
