date,time,longitude,latitude,attack_type,location_description,nearest_country,eez_country,shore_distance,shore_longitude,shore_latitude,attack_description,vessel_name,vessel_type,vessel_status,data_source
03-01-2002,NA,3.4223,6.4405,Boarded,"Lagos Anchorage, Nigeria (Used coordinates from other incidents)",NGA,NGA,1.135964785,3.41285241,6.444525458,NA,Star Polaris,NA,Anchored,mappingpiracy
03-01-2002,NA,3.4223,6.4405,Boarded,"Lagos Anchorage, Nigeria (Located port coordinates)",NGA,NGA,1.135964785,3.41285241,6.444525458,NA,NA,NA,Anchored,mappingpiracy
04-01-2002,NA,9.4167,0.3016667,Boarded,"Libreville, Gabon",GAB,GAB,4.283024729,9.378672722,0.307562567,NA,Delmas Surcouf,NA,Anchored,mappingpiracy
04-01-2002,NA,39.3367,-6.76,Boarded,"Dar Es Salaam, Tanzania",TZA,TZA,5.793949566,39.28443444,-6.756117446,NA,Cape Bonavista,NA,Anchored,mappingpiracy
05-01-2002,NA,-17.35,14.6333333,Boarded,"Dakar, Senegal",SEN,SEN,9.436019757,-17.43301348,14.66054922,NA,Oriental Peony,NA,Anchored,mappingpiracy
06-01-2002,NA,88.0717,21.8783333,Boarded,"Bedford Anchorage, Hoogly River, India",IND,IND,0.5280408259,88.07105554,21.87360261,NA,Jug Prayog,NA,Anchored,mappingpiracy
08-01-2002,NA,-79.903,-2.2833333,Boarded,"Guayaquil Anchorage, Ecuador (Used coordinates from other incidents)",ECU,ECU,4.575080935,-79.86530514,-2.266778253,NA,CSAV Atlanta,NA,Steaming,mappingpiracy
08-01-2002,NA,118.0555,5.815,Boarded,"Sandakan Port, Malaysia",MYS,MYS,0.7614011037,118.0588485,5.808986721,NA,Amer Oil,NA,Berthed,mappingpiracy
09-01-2002,NA,51.2367,14.6983333,Attempted,Coast of Yemen,YEM,YEM,53.06569014,51.06983483,15.14964427,NA,CEC Pioneer,NA,Steaming,mappingpiracy
09-01-2002,NA,51.0805,14.5403333,Attempted,Gulf of Aden,YEM,YEM,67.42832933,51.06983483,15.14964427,NA,Gas Al Ahmadi,NA,Steaming,mappingpiracy
09-01-2002,NA,116.9833,-1.3666667,Boarded,"Balikpapan Anchorage, Indonesia",IDN,IDN,14.30150648,116.9576929,-1.239922784,NA,South Fortune,NA,Anchored,mappingpiracy
09-01-2002,NA,51.375,14.565,Attempted,Gulf of Aden,YEM,YEM,71.38193051,51.26880944,15.20180899,NA,NA,NA,Steaming,mappingpiracy
10-01-2002,NA,106.9025,-6.0976667,Boarded,"Tanjung Priok Anchorage, Indonesia",IDN,IDN,7.190381219,106.8377385,-6.102715753,NA,Great Bless,NA,Anchored,mappingpiracy
10-01-2002,NA,123.2035,6.402,Attempted,"Mindanao, Philippines",PHL,PHL,93.05257415,124.0348413,6.530585028,NA,Anyamanil,NA,Steaming,mappingpiracy
12-01-2002,NA,80.305,13.1066667,Boarded,"Chennai Anchorage, India",IND,IND,0.9518745628,80.31373132,13.10578034,NA,Scan Atlantic,NA,Anchored,mappingpiracy
12-01-2002,NA,-4,5.2931667,Boarded,"Abidjan Anchorage, Ivory Coast",CIV,CIV,1.268660948,-3.999623176,5.30463288,NA,Wilana,NA,Anchored,mappingpiracy
12-01-2002,NA,80.305,13.1066667,Attempted,"Chennai Anchorage, India",IND,IND,0.9518745628,80.31373132,13.10578034,NA,Cemtex Orient,NA,Anchored,mappingpiracy
12-01-2002,NA,104.826,-2.9886667,Boarded,"Plaju Anchorage, Indonesia",IDN,IDN,40.03359276,104.5472111,-2.759535415,NA,NA,NA,Anchored,mappingpiracy
14-01-2002,NA,80.305,13.1066667,Attempted,"Chennai Anchorage, India",IND,IND,0.9518745628,80.31373132,13.10578034,NA,Bharatidasan,NA,Anchored,mappingpiracy
14-01-2002,NA,49.95,7.8166667,Attempted,"Somalia Coast, Somalia",SOM,SOM,14.00210309,49.82764733,7.782904364,NA,Princess Sarah,NA,Steaming,mappingpiracy
14-01-2002,NA,5.4183,3.9066667,Boarded,"Bonny River Anchorage, Nigeria (Coded as Port Harcourt)",NGA,NGA,72.88476992,5.867523634,4.387274481,NA,Jo Maple,NA,Anchored,mappingpiracy
17-01-2002,NA,50.2833,8.2,Hijacked,"Somalia Coast, Somalia",SOM,SOM,18.41838225,50.14136804,8.287990627,NA,Princess Sarah,NA,Anchored,mappingpiracy
18-01-2002,NA,89.5167,21.8,Boarded,"Hiran Point, Mongla, Bangladesh",BGD,BGD,1.796139407,89.52735436,21.81281159,NA,State of Nagaland,NA,Anchored,mappingpiracy
18-01-2002,NA,98.7007,3.7836667,Boarded,"Belawan Port, Indonesia",IDN,IDN,2.482068608,98.71062259,3.803778387,NA,River Stream,NA,Anchored,mappingpiracy
18-01-2002,NA,39.645,-4.0483333,Boarded,"Berth No.8 Mombasa Port, Kenya",KEN,KEN,2.417621437,39.65007572,-4.069594008,NA,Power I,NA,Berthed,mappingpiracy
18-01-2002,NA,106.9025,-6.0976667,Boarded,"Tanjung Priok Anchorage, Indonesia",IDN,IDN,7.190381219,106.8377385,-6.102715753,NA,Thai Binh,NA,Anchored,mappingpiracy
20-01-2002,NA,102.6835,1.9581667,Boarded,"2nm from Parit Jawa, Malacca Straits",MYS,MYS,4.123654774,102.6506454,1.940904039,NA,NA,NA,NA,mappingpiracy
21-01-2002,NA,105.9193,-6.0418333,Boarded,"Cigading, Indonesia",IDN,IDN,4.712374625,105.8878687,-6.070570571,NA,Blessing,NA,Berthed,mappingpiracy
24-01-2002,NA,51.0333,14.9166667,Attempted,Gulf of Aden,YEM,YEM,26.07639455,51.06983483,15.14964427,NA,Grete Maersk,NA,Steaming,mappingpiracy
27-01-2002,NA,126.8042,30.8356,Hijacked,"Enroute from Weihai to Kashima Port, East China Sea",JPN,KOR,251.0182779,129.4282333,30.84642162,NA,Lan Jie,NA,Steaming,mappingpiracy
28-01-2002,NA,50.2833,8.2,Boarded,Somalia,SOM,SOM,18.41838225,50.14136804,8.287990627,NA,Princess Sarah,NA,Anchored,mappingpiracy
28-01-2002,NA,-79.903,-2.2833333,Boarded,"Guayaquil Pilot Anchorage, Ecuador (Used coordinates from other incidents)",ECU,ECU,4.575080935,-79.86530514,-2.266778253,NA,Klipper Stream,NA,Anchored,mappingpiracy
31-01-2002,NA,3.2683,6.25,Boarded,"Lagos, Nigeria",NGA,NGA,16.90039131,3.326182488,6.391424872,NA,Spring Falcon,NA,Anchored,mappingpiracy
03-02-2002,NA,59.765,21.6666667,Attempted,Oman,OMN,OMN,28.61635538,59.57699629,21.85626862,NA,Arktis Crystal,NA,Steaming,mappingpiracy
04-02-2002,NA,-76.75,18.4666667,Attempted,N of Jamaica,JAM,JAM,16.29593559,-76.88782657,18.40055241,NA,Stena Queen,NA,Steaming,mappingpiracy
04-02-2002,NA,116.7932,-1.25,Boarded,"W of Tokong Island, Balikpapan, Indonesia",IDN,IDN,0.2776971814,116.7908635,-1.249118748,NA,Asta Samaudra,NA,Anchored,mappingpiracy
05-02-2002,NA,44,13.5333333,Attempted,"S of Aden Port, Yemen (Coordinates are located inland in town of Ta'izz, Yemen; Insufficient information to georeference incident)",YEM,YEM,76.50648964,43.29517663,13.58559805,NA,Skiropoula,NA,Steaming,mappingpiracy
09-02-2002,NA,100.825,13.138,Boarded,"Kosichang Ancorage, Thailand",THA,THA,7.253749182,100.8782658,13.09833405,NA,Iran Motahari,NA,Anchored,mappingpiracy
11-02-2002,NA,3.4223,6.4405,Boarded,"Lagos Anchorage, Nigeria (Used coordinates from other incidents)",NGA,NGA,1.135964785,3.41285241,6.444525458,NA,Arkaan,NA,Anchored,mappingpiracy
12-02-2002,NA,106.9025,-6.0976667,Boarded,"Tanjung Priok Anchorage, Jakarta, Indonesia",IDN,IDN,7.190381219,106.8377385,-6.102715753,NA,CMA-GCM Matisse,NA,Anchored,mappingpiracy
13-02-2002,NA,49.3333,13.25,Attempted,Gulf of Aden (Coordinates are located inland in Ethiopia; Insufficient information to georeference incident),YEM,YEM,111.0765968,48.73829186,14.06818268,NA,Altair,NA,Steaming,mappingpiracy
13-02-2002,NA,-17.2833,10.9833333,Attempted,"Off Guinea, Bissau",GNB,GNB,109.6276593,-16.41942298,11.48822663,NA,NA,NA,Steaming,mappingpiracy
13-02-2002,NA,-17.2833,10.9833333,Attempted,Guinea Bissau,GNB,GNB,109.6276593,-16.41942298,11.48822663,NA,Tricolor,NA,Steaming,mappingpiracy
15-02-2002,NA,116.8072,-1.2561667,Boarded,"Balikpapan Anchorage, Indonesia",IDN,IDN,1.485680703,116.8173934,-1.247491144,NA,Sebu,NA,Berthed,mappingpiracy
19-02-2002,NA,82.3633,17.0183333,Boarded,"Kakinada Anchorage, India",IND,IND,6.323169492,82.31169681,17.04661693,NA,Tankoil,NA,Anchored,mappingpiracy
21-02-2002,NA,82.3543,16.9996667,Boarded,"Kakinada Fairway Buoy, India",IND,IND,4.813145745,82.34888757,16.95648835,NA,Siam Supha,NA,Anchored,mappingpiracy
21-02-2002,NA,76.3983,8.275,Boarded,India,IND,IND,57.33159052,76.82650801,8.569810289,NA,NA,NA,Steaming,mappingpiracy
24-02-2002,NA,100.365,5.3863333,Attempted,"Penang Anchorage, Malaysia",MYS,MYS,1.754259651,100.3802189,5.39069245,NA,Jolly,NA,Anchored,mappingpiracy
27-02-2002,NA,118.0555,5.815,Boarded,"Sandakan Port, Malaysia",MYS,MYS,0.7614011037,118.0588485,5.808986721,NA,Tradewind Sun,NA,Berthed,mappingpiracy
