date,time,longitude,latitude,attack_type,location_description,nearest_country,eez_country,shore_distance,shore_longitude,shore_latitude,attack_description,vessel_name,vessel_type,vessel_status,data_source
05-01-1998,NA,-80.0867,-2.52,Boarded,"Guayaquil, Ecuador",ECU,ECU,4.446084967,-80.05553138,-2.545179946,NA,Torbon Maersk,NA,Anchored,mappingpiracy
08-01-1998,NA,107.7167,-3.7833333,Attempted,"Gelasa Straits, Indonesia",IDN,IDN,60.7295965,107.631399,-3.240863766,NA,China Joy,NA,Steaming,mappingpiracy
08-01-1998,NA,105.3067,-5.4561667,Attempted,"Panjang, Indonesia",IDN,IDN,1.174827798,105.3107202,-5.465997003,NA,Lissom,NA,NA,mappingpiracy
09-01-1998,NA,-46.305,-24.637,Boarded,"Santos, Brazil",BRA,BRA,67.33122822,-46.59341387,-24.08953216,NA,Isomeria,NA,Anchored,mappingpiracy
11-01-1998,NA,104.4,2.0833333,Boarded,"Pulau Aur, Malaysia",MYS,MYS,34.07831081,104.1128036,1.976141669,NA,Tioman I,NA,NA,mappingpiracy
19-01-1998,NA,78.1868,8.755,Attempted,"Tuticorin, India",IND,IND,1.112965559,78.18653405,8.744940497,NA,Maersk Shetland,NA,Anchored,mappingpiracy
21-01-1998,NA,105.991,-5.9683333,Boarded,"Tanjung Geram, Indonesia",IDN,IDN,2.260472949,105.9773055,-5.983493748,NA,Petrobulk Racer,NA,NA,mappingpiracy
21-01-1998,NA,121.774,12.8797,Boarded,"Tingutan Island, Philippines",PHL,PHL,6.216267808,121.7221786,12.9036319,NA,NA,NA,NA,mappingpiracy
24-01-1998,NA,-80.1667,25.76666667,Boarded,"Miami River, USA",USA,USA,3.26583428,-80.13556881,25.77529532,NA,NSS Shandeline,NA,Berthed,mappingpiracy
27-01-1998,NA,105.9535,-6.0081667,Boarded,"Cigading, Indonesia",IDN,IDN,1.1166917,105.9570419,-5.998711847,NA,Meridian Spica,NA,NA,mappingpiracy
27-01-1998,NA,70.2203,23.0243333,Boarded,"Kandia Road, India",IND,IND,2.981710221,70.23308353,23.00014883,NA,Jo Clipper,NA,Anchored,mappingpiracy
28-01-1998,NA,-13.7093,9.5098333,Boarded,"Conakry, Guinea",GIN,GIN,0.3521903491,-13.70710202,9.512152411,NA,Fu Yang Shan,NA,Anchored,mappingpiracy
31-01-1998,NA,48.4136,4.9115,Hijacked,Somalia,SOM,SOM,20.83466191,48.32886804,5.079657294,NA,Alfa BG,NA,Steaming,mappingpiracy
31-01-1998,NA,39.645,-4.0483333,Boarded,"Mombasa, Kenya",KEN,KEN,2.417621437,39.65007572,-4.069594008,NA,NA,NA,Anchored,mappingpiracy
02-02-1998,NA,121.3333,-6.2333333,Attempted,Indonesia,IDN,IDN,87.43193168,120.5529891,-6.110121352,NA,Paris Junior,NA,NA,mappingpiracy
03-02-1998,NA,120.2,17.9666667,Attempted,Philippines,PHL,PHL,24.77091885,120.4279077,17.91665274,NA,Aspidoforos,NA,Steaming,mappingpiracy
08-02-1998,NA,74.807,12.9228333,Boarded,"New Mangalore, India",IND,IND,6.852764113,74.81755619,12.86176179,NA,Atoyac,NA,Anchored,mappingpiracy
09-02-1998,NA,119.385,15.8283333,Attempted,Philippines,PHL,PHL,41.74883211,119.75587,15.94456615,NA,Puteri Zamrud,NA,NA,mappingpiracy
09-02-1998,NA,9.4367,0.405,Boarded,"Liberville, Gabon",GAB,GAB,5.583536222,9.459320509,0.359930731,NA,Socol I,NA,Anchored,mappingpiracy
09-02-1998,NA,120.05,17.3566667,Attempted,Philippines,PHL,PHL,36.88705295,120.3408309,17.53876374,NA,RORO Sarawak,NA,Steaming,mappingpiracy
10-02-1998,NA,91.8267,22.2383333,Boarded,"Chittagong, Bangladesh",BGD,BGD,0.8313376995,91.83472741,22.23761628,NA,Ras Al Zour,NA,Anchored,mappingpiracy
15-02-1998,NA,91.3167,21.6,Attempted,"Chittagong, Bangladesh",BGD,BGD,54.82668812,91.82398522,21.74262116,NA,Gretke Oldendorff,NA,Anchored,mappingpiracy
15-02-1998,NA,39.645,-4.0483333,Boarded,"Mombasa, Kenya",KEN,KEN,2.417621437,39.65007572,-4.069594008,NA,NA,NA,NA,mappingpiracy
16-02-1998,NA,120.6983,14.4466667,Attempted,"Manila Bay, Philippines",PHL,PHL,12.06162109,120.5883895,14.4669864,NA,Martravelier,NA,Steaming,mappingpiracy
16-02-1998,NA,123.4385,6.8014,Boarded,"Moro Gulf, Philippines",PHL,PHL,58.29610305,123.9655054,6.821275132,NA,NA,NA,Berthed,mappingpiracy
20-02-1998,NA,123.4385,6.8014,Boarded,"Moro Gulf, Philippines",PHL,PHL,58.29610305,123.9655054,6.821275132,NA,NA,NA,NA,mappingpiracy
22-02-1998,NA,119.6124,26.054,Hijacked,"Fujan Coast, China",CHN,CHN,1.382803343,119.6203719,26.06419505,NA,NA,NA,Steaming,mappingpiracy
28-02-1998,NA,48.4136,4.9115,Hijacked,Somalia,SOM,SOM,20.83466191,48.32886804,5.079657294,NA,Natasha I,NA,Steaming,mappingpiracy
03-03-1998,NA,106.8867,-6.0338333,Boarded,"Jakarta, Indonesia",IDN,IDN,9.348946503,106.8377385,-6.102715753,NA,Xin Hua No.8,NA,Anchored,mappingpiracy
04-03-1998,NA,116.0723,5.9858333,Boarded,"Kota Kinabalu, Malaysia",MYS,MYS,6.137166188,116.0664169,5.930650132,NA,Pernas Propane,NA,Anchored,mappingpiracy
07-03-1998,NA,147.6,-2.4,Boarded,Papau New Guinea,PNG,PNG,16.6371882,147.7304794,-2.326429946,NA,Little Swan,NA,Steaming,mappingpiracy
09-03-1998,NA,91.8267,22.2383333,Boarded,"Chittagong, Bangladesh",BGD,BGD,0.8313376995,91.83472741,22.23761628,NA,Jan No.51,NA,Anchored,mappingpiracy
11-03-1998,NA,112.7235,-7.2038333,Boarded,"Surabaya Inner Harbour, Indonesia",IDN,IDN,1.955988514,112.7295028,-7.220472915,NA,Bali Sea,NA,Anchored,mappingpiracy
12-03-1998,NA,39.2765,-6.8265,Boarded,"Dar Es Salaam, Tanzania",TZA,TZA,0.6087118768,39.28028405,-6.830498956,NA,Jan No.35,NA,Anchored,mappingpiracy
12-03-1998,NA,108.5796,-6.7197,Boarded,"Off Cirebon, Indonesia",IDN,IDN,5.450658794,108.6054794,-6.7616513,NA,Nam Dhien,NA,NA,mappingpiracy
16-03-1998,NA,-51.0422,0.026,Boarded,"Macapa, Brazil",BRA,BRA,5.732528005,-51.01740475,0.071437893,NA,Industrial Explorer,NA,Anchored,mappingpiracy
18-03-1998,NA,-80.0867,-2.52,Boarded,"Guayaquil, Ecuador",ECU,ECU,4.446084967,-80.05553138,-2.545179946,NA,NA,NA,NA,mappingpiracy
19-03-1998,NA,120.9428,14.5211667,Attempted,"Manila, Philippines",PHL,PHL,3.658996985,120.9703882,14.50189851,NA,OOCL Alliance,NA,Steaming,mappingpiracy
22-03-1998,NA,7.098,4.6719,Boarded,"Dawes Island, Nigeria",NGA,NGA,1.115744408,7.097911004,4.661810614,NA,Sanmar Pageant,NA,Anchored,mappingpiracy
22-03-1998,NA,48.4136,4.9115,Fired Upon,Somalian Waters,SOM,SOM,20.83466191,48.32886804,5.079657294,NA,Dhow Al Waleed,NA,Steaming,mappingpiracy
26-03-1998,NA,106.8867,-6.0338333,Boarded,"Jakarta, Indonesia",IDN,IDN,9.348946503,106.8377385,-6.102715753,NA,Zhen No.14,NA,Anchored,mappingpiracy
28-03-1998,NA,-80.0867,-2.52,Boarded,"Guayaquil, Ecuador",ECU,ECU,4.446084967,-80.05553138,-2.545179946,NA,Thorkil Maersk,NA,Anchored,mappingpiracy
29-03-1998,NA,-80.0867,-2.52,Boarded,"Guayaquil, Ecuador",ECU,ECU,4.446084967,-80.05553138,-2.545179946,NA,Paraskevi II,NA,Anchored,mappingpiracy
31-03-1998,NA,39.645,-4.0483333,Boarded,"Mombasa, Kenya",KEN,KEN,2.417621437,39.65007572,-4.069594008,NA,NA,NA,Anchored,mappingpiracy
01-04-1998,NA,29.2204,31.24,Boarded,25nm Egypt,EGY,EGY,40.36267139,29.3557235,30.89508698,NA,Nemesis,NA,Steaming,mappingpiracy
02-04-1998,NA,9.4367,0.405,Boarded,"Liberville, Gabon",GAB,GAB,5.583536222,9.459320509,0.359930731,NA,Ocean Challenger,NA,Anchored,mappingpiracy
02-04-1998,NA,70.2203,23.0243333,Boarded,"Kandia Port, India",IND,IND,2.981710221,70.23308353,23.00014883,NA,Sanmar Symphony,NA,Anchored,mappingpiracy
03-04-1998,NA,-43.1913,-22.8765,Boarded,"Rio de Janeiro, Brazil",BRA,BRA,2.178646678,-43.17332923,-22.88697682,NA,Igloo Moon,NA,Anchored,mappingpiracy
04-04-1998,NA,125.6537,7.105,Hijacked,"Near Sasa Port, Saragani Bay, Philippines (Coded as Davao Port, which includes Sasa Wharf)",PHL,PHL,0.8898214619,125.6461695,7.107855536,NA,Virgin Pearl,NA,Steaming,mappingpiracy
05-04-1998,NA,125.3667,4.9666667,Attempted,Philippines,PHL,IDN,44.29054889,125.3637801,5.36717357,NA,Shun Kim,NA,Steaming,mappingpiracy
06-04-1998,NA,105.9922,-5.9531667,Boarded,"Cilegon Merak, Indonesia",IDN,IDN,3.737279898,105.9773055,-5.983493748,NA,Multitank Calabria,NA,Anchored,mappingpiracy
14-04-1998,NA,-80.0867,-2.52,Attempted,"Guayaquil, Ecuador",ECU,ECU,4.446084967,-80.05553138,-2.545179946,NA,Simone J,NA,Anchored,mappingpiracy
15-04-1998,NA,51.15,12.085,Attempted,Somalian Waters,SOM,SOM,22.95596275,51.12769616,11.87864818,NA,Silver Star,NA,Steaming,mappingpiracy
16-04-1998,NA,104.8333,2,Attempted,Indonesia,MYS,MYS,74.32496556,104.222911,1.726874091,NA,Northwest Sanderling,NA,Steaming,mappingpiracy
17-04-1998,NA,105.35,3.8166667,Hijacked,SCS,IDN,IDN,91.75100597,105.6887313,3.059963283,NA,Petro Ranger,NA,Steaming,mappingpiracy
20-04-1998,NA,105.9193,-6.0418333,Boarded,"Anyer Anchorage, Indonesia",IDN,IDN,4.712374625,105.8878687,-6.070570571,NA,Swift Tiger,NA,Anchored,mappingpiracy
22-04-1998,NA,-17.4247,14.676,Boarded,"Dakar, Senegal",SEN,SEN,0.2610339344,-17.42682858,14.67487214,NA,Arcadia,NA,Steaming,mappingpiracy
24-04-1998,NA,-52.0757,-32.0536667,Boarded,"Rio Grande, Brazil",BRA,BRA,1.852696888,-52.08145098,-32.03769297,NA,Bretagene,NA,Anchored,mappingpiracy
24-04-1998,NA,94.5833,6.4333333,Attempted,"Off Rondo Island, Indian Ocean",NA,IDN,85.89186224,93.90308679,6.808294989,NA,Tiger Wave,NA,Steaming,mappingpiracy
24-04-1998,NA,91.8267,22.2383333,Boarded,"Chittagong, Bangladesh",BGD,BGD,0.8313376995,91.83472741,22.23761628,NA,Waid Al Agouz,NA,Anchored,mappingpiracy
26-04-1998,NA,1.0583,49.4385,Boarded,"Rouen, France",FRA,FRA,41.41974976,0.493174675,49.49359772,NA,Hellen C,NA,Berthed,mappingpiracy
26-04-1998,NA,-80.0867,-2.52,Boarded,"Guayaquil, Ecuador",ECU,ECU,4.446084967,-80.05553138,-2.545179946,NA,CSAV Rio de la Plata,NA,Anchored,mappingpiracy
28-04-1998,NA,106.8867,-6.0338333,Boarded,"Jakarta Anchorage, Indonesia",IDN,IDN,9.348946503,106.8377385,-6.102715753,NA,Kwangtung,NA,Anchored,mappingpiracy
28-04-1998,NA,122.5667,6.7166667,Attempted,"Near Sibago Island, Philippines",PHL,PHL,28.49957159,122.3352157,6.603338934,NA,Aqua Stoli,NA,Steaming,mappingpiracy
