date,time,longitude,latitude,attack_type,location_description,nearest_country,eez_country,shore_distance,shore_longitude,shore_latitude,attack_description,vessel_name,vessel_type,vessel_status,data_source
01-01-2003,NA,88.245,20.9883333,Boarding,"Sandheads Anchorage, Hoogly River, India",IND,IND,62.65378133,88.26612389,21.55385977,NA,Vivekananda,NA,Anchored,mappingpiracy
01-01-2003,NA,5.4333,4.5833333,Boarding,"Off Warri, Nigeria",NGA,NGA,17.97378842,5.566905144,4.675238348,NA,HD Challenger,NA,Steaming,mappingpiracy
02-01-2003,NA,105.95,-6.0166667,Boarding,"Cigading Anchorage, Indonesia",IDN,IDN,2.133135886,105.9570419,-5.998711847,NA,CIC Horizon,NA,Anchored,mappingpiracy
04-01-2003,NA,88.91,21.5548333,Boarding,"Chaltabari Canal, Sundarbans, India",IND,IND,0.8187292225,88.91391035,21.54840729,NA,NA,NA,Steaming,mappingpiracy
04-01-2003,NA,117.2935,-0.9965,Boarding,"Samarinda Anchorage, Indonesia",IDN,IDN,10.277229,117.235118,-0.924493097,NA,A She Kyae,NA,Anchored,mappingpiracy
05-01-2003,NA,-17.3667,14.6666667,Boarding,"Dakar Port, Senegal",SEN,SEN,6.539971202,-17.42682858,14.67487214,NA,Maresk Dakar,NA,Steaming,mappingpiracy
06-01-2003,NA,117.15,-0.5265,Boarding,"Samarinda Anchorage, Indonesia",IDN,IDN,32.43935797,117.4414169,-0.525160415,NA,Setif II,NA,Anchored,mappingpiracy
07-01-2003,NA,71.3167,20.2333333,Boarding,Off Mumbai India,IND,IND,61.73300145,71.14063561,20.76569245,NA,Smit Shoalrunner I,NA,Steaming,mappingpiracy
08-01-2003,NA,117.15,-0.5265,Boarding,"Samarinda Anchorage, Indonesia",IDN,IDN,32.43935797,117.4414169,-0.525160415,NA,Hebei Friendship,NA,Anchored,mappingpiracy
08-01-2003,NA,-62.7078,10.7667,Boarding,"Tres puntas Cape, Venezuela",VEN,VEN,0.5662782321,-62.70567786,10.76203034,NA,Ilusion,NA,Steaming,mappingpiracy
